# x_cm Potential_V
1.786850309923392299e-05 2.415683379843195144e+00
1.818955699306829080e-05 2.411871178016939954e+00
1.851555017757703465e-05 2.408000324893947663e+00
1.884655864184745086e-05 2.404069918510939541e+00
1.918265954402971894e-05 2.400079042967933507e+00
1.952393122932248414e-05 2.396026768222925263e+00
1.987045324823513844e-05 2.391912149882202243e+00
2.022230637513106253e-05 2.387734228986353457e+00
2.057957262705615510e-05 2.383492031792036059e+00
2.094233528285701702e-05 2.379184569549547490e+00
2.131067890259327952e-05 2.374810838276237401e+00
2.168468934724855895e-05 2.370369818525793537e+00
2.206445379874468992e-05 2.365860475153417131e+00
2.245006078026383809e-05 2.361281757076902466e+00
2.284160017688327980e-05 2.356632597033623711e+00
2.323916325652763620e-05 2.351911911333425920e+00
2.364284269124344404e-05 2.347118599607408207e+00
2.405273257880103348e-05 2.342251544552580889e+00
2.446892846462874109e-05 2.337309611672377940e+00
2.489152736408456712e-05 2.332291649012989243e+00
2.532062778507048137e-05 2.327196486895481975e+00
2.575632975099464276e-05 2.322022937643672069e+00
2.619873482408686545e-05 2.316769795307703106e+00
2.664794612907281710e-05 2.311435835383278903e+00
2.710406837721239710e-05 2.306019814526511169e+00
2.756720789070797017e-05 2.300520470264313833e+00
2.803747262748809298e-05 2.294936520700299187e+00
2.851497220637252416e-05 2.289266664216104807e+00
2.899981793262440641e-05 2.283509579168101489e+00
2.949212282389554969e-05 2.277663923579401839e+00
2.999200163657086352e-05 2.271728334827118001e+00
3.000000000000000076e-05 2.271633361816054020e+00
